Location Name,Location Formal Name,Location Scheduler,Location Scheduler Email,Max Capacity,X25 Assignable Area,Default Layout,Default Layout Capacity,Default Layout Image?,Always Shared?,Building,Partition,Latitude,Longitude,X25 Building,X25 Floor Number,X25 Owner Organization,X25 Room Use Code,Express Scheduling Enabled?,Express Scheduling Event Type,Express Scheduling Max. Duration,Default Instructions,Comments
CLAC2609**,Clinical Programs Ambulatory C2609,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,18,735,As Is,18,Yes,No,,,42.448002,-76.464348,Clinic Prog Ambulatory,2,Veterinary Medicine-VM,715,No,,,,
CLBC2913**,Clinical Programs Breezeway C2913,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,100,7027,,0,No,No,,,42.448043,-76.464604,Clinic Prog Breezeway,2,Veterinary Medicine-VM,220,No,,,,
CLD100,Caldwell Hall 100,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,100,1437,Instruction,100,Yes,No,,Caldwell Hall,42.449222,-76.478261,Caldwell Hall,,Agriculture and Life Sci-CALS,110,No,,,,
CLD250,Caldwell Hall 250,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,37,0,Instruction,36,Yes,No,,,42.449222,-76.478261,Caldwell Hall,,Agriculture and Life Sci-CALS,,No,,,,
CLD400,Caldwell Hall 400,"Maracle, Benjamin",bdm85@cornell.edu,23,885,Instruction,23,No,No,,,42.449222,-76.478261,Caldwell Hall,,Agriculture and Life Sci-CALS,350,No,,,,
CLK132**,Clark Hall 132,"Tarbell, Jill",jtm14@cornell.edu,20,719,,0,No,No,,,42.449819,-76.481122,Clark Hall,1,Arts and Sci-AS,212,No,,,,
CLK247,Clark Hall 247,"Owens, Ann",aao29@cornell.edu,40,1151,Instruction,40,Yes,No,,,42.449819,-76.481122,Clark Hall,,,110,No,,,,
CLK294A,Clark Hall 294A,"Wierson, Danyel",dw442@cornell.edu,24,640,Instruction,24,Yes,No,,,42.449819,-76.481122,Clark Hall,,,110,No,,,,
CLK294B,Clark Hall 294B,"Wierson, Danyel",dw442@cornell.edu,24,564,Instruction,24,No,No,,,42.449819,-76.481122,Clark Hall,,,110,No,,,,
CLK294C,Clark Hall 294C,"Wierson, Danyel",dw442@cornell.edu,24,629,Instruction,24,Yes,No,,,42.449819,-76.481122,Clark Hall,,,110,No,,,,
CLK294D,Clark Hall 294D,"Wierson, Danyel",dw442@cornell.edu,48,1111,Instruction,48,Yes,No,,,42.449819,-76.481122,Clark Hall,,,110,No,,,,
CLK294E,Clark Hall 294E,"Wierson, Danyel",dw442@cornell.edu,24,642,Instruction,24,Yes,No,,,42.449819,-76.481122,Clark Hall,,,110,No,,,,
CLK294F,Clark Hall 294F,"Wierson, Danyel",dw442@cornell.edu,24,633,Instruction,24,No,No,,,42.449819,-76.481122,Clark Hall,,,110,No,,,,
CLK294G,Clark Hall 294G,"Wierson, Danyel",dw442@cornell.edu,24,582,Instruction,24,Yes,No,,,42.449819,-76.481122,Clark Hall,,,110,No,,,,
CLK294H,Clark Hall 294H,"Wierson, Danyel",dw442@cornell.edu,24,645,Instruction,24,Yes,No,,,42.449819,-76.481122,Clark Hall,,,110,No,,,,
CLK405**,Clark Hall 405,"Wierson, Danyel",dw442@cornell.edu,4,801,,0,No,No,,,42.449819,-76.481122,Clark Hall,4,Arts and Sci-AS,220,No,,,,
CLK430**,Clark Hall 430,"Wierson, Danyel",dw442@cornell.edu,8,642,,0,No,No,,,42.449819,-76.481122,Clark Hall,4,Arts and Sci-AS,220,No,,,,
CLMC2642**,Clinical Programs M Barn C2642,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,25,121,,0,No,No,,,42.448424,-76.464541,Clinic Prog M Barn,2,Veterinary Medicine-VM,215,No,,,,
CLMC2643A**,Clinical Programs M Barn C2643A,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,25,1063,,0,No,No,,,42.448424,-76.464541,Clinic Prog M Barn,2,Veterinary Medicine-VM,212,No,,,,
CLSC2539**,Clinical Programs Surgery C2539,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,36,633,Instruction,36,Yes,No,,,42.448013,-76.464761,Clinic Prog Surgery,2,Veterinary Medicine-VM,110,No,,,,
CLSC2553**,Clinical Programs Surgery C2553,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,15,539,As Is,15,Yes,No,,,42.448013,-76.464761,Clinic Prog Surgery,2,Veterinary Medicine-VM,217,No,,,,
CLSC2555**,Clinical Programs Surgery C2555,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,40,1306,As Is,40,Yes,No,,,42.448013,-76.464761,Clinic Prog Surgery,2,Veterinary Medicine-VM,217,No,,,,
CLSC2572**,Clinical Programs Surgery C2572,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,1,153,,0,No,No,,,42.448013,-76.464761,Clinic Prog Surgery,2,Veterinary Medicine-VM,310,No,,,,
CLSC2580**,Clinical Programs Surgery C2580,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,15,435,As Is,15,Yes,No,,,42.448013,-76.464761,Clinic Prog Surgery,2,Veterinary Medicine-VM,217,No,,,,
CLSC2585**,Clinical Programs Surgery C2585,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,20,569,,0,No,No,,,42.448013,-76.464761,Clinic Prog Surgery,2,Veterinary Medicine-VM,210,No,,,,
CLSC2587**,Clinical Programs Surgery C2587,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,20,581,,0,No,No,,,42.448013,-76.464761,Clinic Prog Surgery,2,Veterinary Medicine-VM,210,No,,,,
CLUC2537**,Clinical Programs Multipurpose C2537,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,43,718,Instruction,43,Yes,No,,,42.447599,-76.465123,Clinic Prog Multiprpse,2,Veterinary Medicine-VM,110,No,,,,
CMHA100L,Corson-Mudd Hall A100L: Atrium,"Maine, Lori M.",lmm8@cornell.edu,120,2744,As Is,120,Yes,No,,,42.447185,-76.478619,Corson-Mudd,1,Agriculture and Life Sci-CALS,20,No,,,,
CMHA106,Corson-Mudd A106,"Maine, Lori M.",lmm8@cornell.edu,86,1202,Instruction,86,Yes,No,,Corson-Mudd Hall,42.447185,-76.478619,Corson-Mudd,,Agriculture and Life Sci-CALS,110,No,,,,
CMS1104**,Comstock Hall 1104,,,18,908,Instruction,18,No,No,,,42.446496,-76.479337,Comstock Hall,1,Agriculture and Life Sci-CALS,212,No,,,,
CMS1108**,Comstock Hall 1108,,,18,883,Instruction,18,No,No,,,42.446496,-76.479337,Comstock Hall,1,Agriculture and Life Sci-CALS,212,No,,,,
CMS1112**,Comstock Hall 1112,,,18,878,Instruction,18,No,No,,,42.446496,-76.479337,Comstock Hall,1,Agriculture and Life Sci-CALS,212,No,,,,
CMS1116**,Comstock Hall 1116,,,18,877,Instruction,18,No,No,,,42.446496,-76.479337,Comstock Hall,1,Agriculture and Life Sci-CALS,212,No,,,,
CMS1120**,Comstock Hall 1120,,,18,925,Instruction,18,No,No,,,42.446496,-76.479337,Comstock Hall,1,Agriculture and Life Sci-CALS,212,No,,,,
CMS1187,Comstock Hall 1187,"Adams, Megan",mls99@cornell.edu,12,316,Instruction,12,Yes,No,,,42.446496,-76.479337,Comstock Hall,,Agriculture and Life Sci-CALS,110,No,,,,
CMS2109**,Comstock Hall 2109,,,29,1066,Instruction,29,No,No,,,42.446496,-76.479337,Comstock Hall,2,Agriculture and Life Sci-CALS,212,No,,,,
CMS2123,Comstock Hall 2123,"Westmiller, Stephanie",st342@cornell.edu,42,1050,Instruction,42,Yes,No,,,42.446496,-76.479337,Comstock Hall,,Agriculture and Life Sci-CALS,110,No,,,,
CMSB104,Comstock Hall B104,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,18,452,Instruction,18,Yes,No,,Comstock Hall,42.446496,-76.479337,Comstock Hall,,Agriculture and Life Sci-CALS,110,No,,,,
CMSB106,Comstock Hall B106,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,30,756,Instruction,30,Yes,No,,Comstock Hall,42.446496,-76.479337,Comstock Hall,,Agriculture and Life Sci-CALS,110,No,,,,
CMSB108,Comstock Hall B108,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,36,741,Instruction,36,Yes,No,,Comstock Hall,42.446496,-76.479337,Comstock Hall,,Agriculture and Life Sci-CALS,110,No,,,,
CNH127A,Cornell Health 127A: Tang Conference Suite Room A,"Zawislak, Jennifer",jz56@cornell.edu,10,565,As Is,10,Yes,No,,,42.445832,-76.485558,Cornell Health,1,Student and Campus Life-SCL,680,No,,,,
CNH127B,Cornell Health 127B: Tang Conference Suite Room B,"Zawislak, Jennifer",jz56@cornell.edu,20,548,As Is,20,Yes,No,,,42.445832,-76.485558,Cornell Health,1,Student and Campus Life-SCL,680,No,,,,
CNH127C,Cornell Health 127C: Tang Conference Suite Room C,"Zawislak, Jennifer",jz56@cornell.edu,20,545,As Is,20,Yes,No,,,42.445832,-76.485558,Cornell Health,1,Student and Campus Life-SCL,680,No,,,,
CNH127D,Cornell Health 127D: Tang Conference Suite Room D,"Zawislak, Jennifer",jz56@cornell.edu,15,526,As Is,15,Yes,No,,,42.445832,-76.485558,Cornell Health,1,Student and Campus Life-SCL,680,No,,,,
CRP104,Carpenter Hall 104: Blue Computer Lab,"Scheduling Admin, Engineering",eng_roomsch@cornell.edu,32,800,Instruction,32,Yes,No,,,42.444818,-76.484173,Carpenter Hall,1,Engineering-EN,210,No,,,,
CRPXLWN**,Carpenter Hall XLWN: Lawn,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,99,0,Outdoor - Diagram,99,No,No,,,0,0,,,,,No,,,,
CRPXTER**,Carpenter Hall XTER: Terrace,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,99,0,Outdoor - Diagram,99,No,No,,,0,0,,,,,No,,,,
CVMS1210**,CVM Center S1210,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,150,3255,Instruction,150,Yes,No,,,42.447742,-76.465916,CVM Center,1,Veterinary Medicine-VM,110,No,,,,
CVMS1212**,CVM Center S1212,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,150,3256,Instruction,150,Yes,No,,,42.447742,-76.465916,CVM Center,1,Veterinary Medicine-VM,110,No,,,,
CVMS1214**,CVM Center S1214 Hagen Rm,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,22,708,As Is,22,Yes,No,,,42.447742,-76.465916,CVM Center,1,Veterinary Medicine-VM,350,No,,,,
CVMS1215**,CVM Center S1215: Takodas Run Atrium,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,300,6657,,0,No,No,,,42.447742,-76.465916,CVM Center,1,Veterinary Medicine-VM,650,No,,,,
CVMS1222**,CVM Center S1222,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,60,1159,Instruction,60,Yes,No,,,42.447742,-76.465916,CVM Center,1,Veterinary Medicine-VM,110,No,,,,
CVMS1226**,CVM Center S1226,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,60,1158,Instruction,60,Yes,No,,,42.447742,-76.465916,CVM Center,1,Veterinary Medicine-VM,110,No,,,,
CVMS2223**,CVM Center S2223,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,80,1331,As Is,80,Yes,No,,,42.447742,-76.465916,CVM Center,2,Veterinary Medicine-VM,630,No,,,,
CVMS2224**,CVM Center S2224,"Scheduling Admin, Vet",vet_roomsch@cornell.edu,150,7124,,0,No,No,,,42.447742,-76.465916,CVM Center,2,Veterinary Medicine-VM,650,No,,,,
DCKXCRT,Clara Dickson Hall XCRT: Courtyard,"SCL Res Life Scheduling, North Campus",scl_rl_north@cornell.edu,99,0,,0,No,No,,,42.454242,-76.479112,,,,,No,,,,
DUF145**,Duffield Hall 145,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,14,405,,0,No,No,,,42.444667,-76.482571,Duffield Hall,1,Engineering-EN,650,No,,,,
DUF254**,Duffield Hall 254,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,24,408,As Is,20,No,No,,,42.444667,-76.482571,Duffield Hall,2,Engineering-EN,350,No,,,,
DUF30046**,Duffield Hall 30046,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,0,450,As Is,0,Yes,No,,,42.444667,-76.482571,Duffield Hall,3,Engineering-EN,20,No,,,,
DUF304**,Duffield Hall 304,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,24,517,,0,No,No,,,42.444667,-76.482571,Duffield Hall,3,Engineering-EN,650,No,,,,
DUF340,Duffield Hall 340,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,24,641,As Is,24,Yes,No,,,42.444667,-76.482571,Duffield Hall,3,Engineering-EN,680,No,,,,
DUF354**,Duffield Hall 354,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,24,408,As Is,24,No,No,,,42.444667,-76.482571,Duffield Hall,3,Engineering-EN,350,No,,,,
DUFATR,Duffield Hall: Atrium,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,625,0,As Is,625,No,No,,,42.444667,-76.482571,Duffield Hall,,Engineering-EN,20,No,,,,
DUFWKDYTBN,Duffield Hall: Workday Table North,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,6,0,As Is,6,No,No,,,42.444667,-76.482571,Duffield Hall,,Engineering-EN,,No,,,,
DUFWKDYTBW,Duffield Hall: Workday Table West,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,6,0,As Is,6,No,No,,,42.444667,-76.482571,Duffield Hall,,Engineering-EN,,No,,,,
DUFXPLZ,Duffield Hall XPLZ: La Croute Plaza,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,600,0,,0,No,No,,,42.444667,-76.482571,,,,,No,,,,
ECO100CB,Hurlburt House 100CB: 1st Floor Lobby,,,18,994,As Is,18,Yes,No,,,42.457931,-76.483945,Hurlburt House,,,20,No,,,,
EMR135,Emerson Hall 135,"Enright, Catalina",cle46@cornell.edu,87,1390,Instruction,50,Yes,No,,,42.448384,-76.47581,Emerson Hall,,Agriculture and Life Sci-CALS,110,No,,,,
ENQXQUADN,Engineering Quad XQUADN: North Quad,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,99,0,Outdoor - Diagram,99,No,No,,,42.444557,-76.483399,,,,,No,,,,
ENQXQUADS,Engineering Quad XQUADS: South Quad,"EN Scheduling Admin, Duffield",duffield_reserva@cornell.edu,99,0,Outdoor - Diagram,99,No,No,,,0,0,,,,,No,,,,
ESN201,Judith Eissner Pav 201,"Miller, Donna",dm246@cornell.edu,25,548,Instruction,25,Yes,No,,,42.442732,-76.485426,Judith Eissner Pav,,Arts and Sci-AS,110,No,,,,
FBC102**,Fischell Band Center 102,"SCL Scheduling Admin, North Campus",northcampus-scheduling@cornell.edu,175,3354,Empty (flow),175,No,No,,,42.443819,-76.477194,Fischell Band Center,1,Student and Campus Life-SCL,680,No,,,,
FND112**,Foundry 112,"Banta, Melissa",mb285@cornell.edu,10,1675,,0,No,No,,,42.451518,-76.483532,Foundry,1,Architecture Art and Planning-AAP,220,No,,,,
FRH110,Flora Rose House 110,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,3,0,,0,No,No,,,42.447773,-76.48885,Flora Rose House,,,,No,,,,
FRH120,Flora Rose House 120,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,25,0,,0,No,No,,,42.447773,-76.48885,Flora Rose House,,,,No,,,,
FRH121,Flora Rose House 121,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,12,0,,0,No,No,,,42.447773,-76.48885,Flora Rose House,,,,No,,,,
FRH122,Flora Rose House 122,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,4,0,,0,No,No,,,42.447773,-76.48885,Flora Rose House,,,,No,,,,
FRH126,Flora Rose House 126: Seminar Room,"SCL Scheduling, West Campus Houses",west_house_sched@cornell.edu,30,514,Instruction,18,Yes,No,,,42.447773,-76.48885,Flora Rose House,,,110,No,,,,
FRNG01,Fernow Hall G01,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,24,693,Instruction,24,Yes,No,,Fernow Hall,42.448442,-76.475128,Fernow Hall,,Agriculture and Life Sci-CALS,110,No,,,,
FRNG24,Fernow Hall G24,"Scheduling Admin, CALS",cals-studentservices@cornell.edu,50,1185,Instruction,50,Yes,No,,Fernow Hall,42.448442,-76.475128,Fernow Hall,,Agriculture and Life Sci-CALS,110,No,,,,
FRNXLWN,Fernow Hall XLWN: Lawn,,,99,0,,0,No,No,,,42.448442,-76.475128,,,,,No,,,,
FUE101**,Fuertes Observatory 101,,,29,464,,0,No,No,,,42.45277,-76.474502,Fuertes Observatory,1,Arts and Sci-AS,210,No,,,,
GGG170,Green Greenhse Bldg G 170,"Enright, Catalina",cle46@cornell.edu,30,1029,Instruction,30,No,No,,,42.448737,-76.468905,Green Greenhse Bldg G,,Agriculture and Life Sci-CALS,110,No,,,,
GSH122,Goldwin Smith Hall 122,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,26,387,Instruction,26,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH124,Goldwin Smith Hall 124,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,26,385,Instruction,26,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH132,Goldwin Smith Hall 132: HEC Aud,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,210,2432,Instruction,210,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH142,Goldwin Smith Hall 142,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,75,790,Instruction,75,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH144,Goldwin Smith Hall 144,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,18,386,Instruction,18,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH156,Goldwin Smith Hall 156,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,19,396,Instruction,19,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH158,Goldwin Smith Hall 158,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,19,363,Instruction,19,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH160,Goldwin Smith Hall 160,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,19,380,Instruction,19,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH162,Goldwin Smith Hall 162,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,19,386,Instruction,19,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH164,Goldwin Smith Hall 164,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,19,402,Instruction,19,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH181,Goldwin Smith Hall 181,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,20,344,Instruction,20,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH236,Goldwin Smith Hall 236,"Kudej, Karen",kek77@cornell.edu,30,461,Instruction,30,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH283,Goldwin Smith Hall 283,"Kudej, Karen",kek77@cornell.edu,20,358,Instruction,20,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH348,Goldwin Smith Hall 348,"Kudej, Karen",kek77@cornell.edu,20,379,Instruction,20,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSH350,Goldwin Smith Hall 350,"Kudej, Karen",kek77@cornell.edu,20,378,Instruction,20,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSHG19,Goldwin Smith Hall G19,"Vander Horst, Danielle",dmv43@cornell.edu,20,371,Instruction,20,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSHG20,Goldwin Smith Hall G20,"Vander Horst, Danielle",dmv43@cornell.edu,20,425,Instruction,20,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSHG22,Goldwin Smith Hall G22,"Vander Horst, Danielle",dmv43@cornell.edu,60,816,Instruction,60,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSHG24,Goldwin Smith Hall G24,"Vander Horst, Danielle",dmv43@cornell.edu,30,570,Instruction,30,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSHG64,Goldwin Smith Hall G64: Kau Aud,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,145,1557,Instruction,145,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GSHG76,Goldwin Smith Hall G76: Lewis,"Scheduling Admin, Arts and Sciences",as_rmrsv@cornell.edu,200,2283,Instruction,200,Yes,No,,Goldwin Smith Hall,42.449063,-76.483473,Goldwin Smith Hall,,Arts and Sci-AS,110,No,,,,
GTR110,Guterman Bioclim Lab 110,"Enright, Catalina",cle46@cornell.edu,43,657,Instruction,43,No,No,,,42.447477,-76.460512,Guterman Bioclim Lab,,,110,No,,,,
GTS10043,Gates Hall 10043,"Welsh, Lindsay",lew7@cornell.edu,60,2572,As Is,60,Yes,No,,,42.444987,-76.480754,Gates Hall,,,20,No,,,,
GTS114,Gates Hall 114,"Welsh, Lindsay",lew7@cornell.edu,70,958,Instruction,69,Yes,No,,,42.444987,-76.480754,Gates Hall,,Computing and Info Sci-CIS,680,No,,,,
GTSG01,Gates Hall G01,"Scheduling Admin, Engineering",eng_roomsch@cornell.edu,154,1921,Instruction,154,Yes,No,,Gates Hall,42.444987,-76.480754,Gates Hall,,Computing and Info Sci-CIS,110,No,,,,
GTSXPLZ,Gates Hall XPLZ: Plaza,"Welsh, Lindsay",lew7@cornell.edu,99,0,,0,No,No,,,0,0,,,,,No,,,,
HCC110**,Hasbrouck Community Center 110,,,212,1063,As Is,212,No,No,,,42.456324,-76.471925,Hasbrouck Comm Ctr,1,Student and Campus Life-SCL,650,No,,,,
HEB101,Human Ecology Building 101,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,18,512,Instruction,18,Yes,No,,M Van Rensselaer Hall,42.450482,-76.478616,Human Ecology Building,1,Human Ecology-HE,110,No,,,,
HEB113,Human Ecology Building 113,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,25,1558,Instruction,24,No,No,,,42.450482,-76.478616,Human Ecology Building,1,Human Ecology-HE,212,No,,,,
HEB121,Human Ecology Building 121,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,25,1276,Instruction,24,No,No,,,42.450482,-76.478616,Human Ecology Building,1,Human Ecology-HE,210,No,,,,
HEB141,Human Ecology Building 141,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,24,1296,As Is,24,No,No,,,42.450482,-76.478616,Human Ecology Building,1,Human Ecology-HE,212,No,,,,
HEB201,Human Ecology Building 201,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,18,513,Instruction,18,Yes,No,,M Van Rensselaer Hall,42.450482,-76.478616,Human Ecology Building,2,Human Ecology-HE,250,No,,,,
HEB245,Human Ecology Building 245,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,6,783,As Is,6,No,No,,,42.450482,-76.478616,Human Ecology Building,2,Human Ecology-HE,81,No,,,,
HEB2L30,Human Ecology Building 2L30,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,1,332,As Is,1,No,No,,,42.450482,-76.478616,Human Ecology Building,,Human Ecology-HE,314,No,,,,
HEB2L31,Human Ecology Building 2L31,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,6,1191,As Is,6,No,No,,,42.450482,-76.478616,Human Ecology Building,,Human Ecology-HE,220,No,,,,
HEB2L32,Human Ecology Building 2L32,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,12,876,As Is,12,No,No,,,42.450482,-76.478616,Human Ecology Building,,Human Ecology-HE,210,No,,,,
HEB3L09,Human Ecology Building 3L09,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,1,396,As Is,1,No,No,,,42.450482,-76.478616,Human Ecology Building,,Human Ecology-HE,220,No,,,,
HEBT01,Human Ecology Building T01,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,35,712,As Is,35,No,No,,,42.450482,-76.478616,Human Ecology Building,,Human Ecology-HE,350,No,,,,
HEBT07,Human Ecology Building T07,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,24,903,Instruction,23,No,No,,,42.450482,-76.478616,Human Ecology Building,,Human Ecology-HE,220,No,,,,
HEBT13,Human Ecology Building T13,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,25,1163,As Is,25,No,No,,,42.450482,-76.478616,Human Ecology Building,,Human Ecology-HE,210,No,,,,
HEBT13X,Human Ecology Building T13X,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,50,0,As Is,50,No,No,,,42.450482,-76.478616,Human Ecology Building,T,Human Ecology-HE,,No,,,,
HEBT14,Human Ecology Building T14,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,26,935,As Is,26,No,No,,,42.450482,-76.478616,Human Ecology Building,,Human Ecology-HE,210,No,,,,
HEBT20,Human Ecology Building T20,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,18,744,As Is,18,No,No,,,42.450482,-76.478616,Human Ecology Building,,Human Ecology-HE,210,No,,,,
HEBT23,Human Ecology Building T23,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,25,1515,As Is,25,No,No,,,42.450482,-76.478616,Human Ecology Building,,Human Ecology-HE,212,No,,,,
HEBT56,Human Ecology Building T56,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,1,496,As Is,1,No,No,,,42.450482,-76.478616,Human Ecology Building,,Human Ecology-HE,220,No,,,,
HEBT90,Human Ecology Building T90: Commons,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,122,4848,As Is,122,No,No,,,42.450482,-76.478616,,,,650,No,,,,
HEBXCRT1,Human Ecology Building XCRT1: Terrace Courtyard,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,99,0,As Is,0,No,No,,,42.450482,-76.478616,,,,,No,,,,
HEBXCRT2,Human Ecology Building XCRT2: Belkin Courtyard,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,99,0,As Is,0,No,No,,,42.450482,-76.478616,,,,,No,,,,
HEBXPLZ,Human Ecology Building XPLZ: Gross Plaza,"Scheduling Admin, Human Ecology",che-acad-event@cornell.edu,99,0,As Is,0,No,No,,,42.450482,-76.478616,,,,,No,,,,
